-256., -352.73960201, 0., -26.51648089, 320.33026656, 340.94019678
-352.73960201, -415.51398659, -26.51648089, 1.44840856, 340.94019678, -33.93571849
-415.51398659, -454.38476248, 1.44840856, 125.30190064, -33.93571849, -354.15711874
-256., -159.26085784, 0., 26.51647754, 320.33026656, 299.72052016
-159.26085784, -174.89189696, 26.51647754, -80.81684519, 299.72052016, -86.29162002
-174.89189696, -191.49268589, -80.81684519, -93.97559329, -86.29162002, -451.08890571
-256., -234.06217367, 0., -139.39283414, 320.33026656, 499.25805332
-234.06217367, -203.00785481, -139.39283414, -308.91854849, 499.25805332, 647.05481947
-203.00785481, -194.46075506, -308.91854849, -382.46520763, 647.05481947, 632.34954224
-194.46075506, -187.49342135, -382.46520763, -407.22969998, 632.34954224, 735.03647728
-203.00785481, -111.53543504, -308.91854849, -257.32426974, 647.05481947, 614.24717173
-111.53543504, -44.16027495, -257.32426974, -206.26522208, 614.24717173, 399.73878561
-44.16027495, -98.10295194, -206.26522208, -288.77506487, 399.73878561, 308.85349465
-203.00785481, -313.86252865, -308.91854849, -308.59472495, 647.05481947, 614.69704659
-313.86252865, -427.06062939, -308.59472495, -308.27172546, 614.69704659, 382.31185703
-427.06062939, -313.47264374, -308.27172546, -404.17270902, 382.31185703, 274.62308685
